model,dataset,metric,pearson,pearson_p,spearman,spearman_p,valid_pairs,total_pairs
all-mpnet-base-v2,MTurk,isc_similarity,0.6722666815428613,1.6190549257404918e-102,0.6848569660899029,8.171535449565258e-108,771,771
all-distilroberta-v1,WordSim353,cosine,0.6499739302739591,9.359699539947728e-44,0.6405594448814277,3.666992642296733e-42,353,353
all-distilroberta-v1,SimLex999,cosine,0.2960962444810575,1.1526043478289528e-21,0.2753421260355787,7.738995121794646e-19,999,999
all-distilroberta-v1,MC30,cosine,0.7351427883310903,3.7100777097931923e-06,0.7539780101851946,1.502075887205955e-06,30,30
all-distilroberta-v1,MEN,cosine,0.646905150692504,0.0,0.6516278562722979,0.0,3000,3000
all-distilroberta-v1,MTurk,cosine,0.5311472782265932,2.4251267679550684e-57,0.5257251711427188,5.209791424347303e-56,771,771
all-distilroberta-v1,WordSim353,adjusted_cosine,0.6503634476336351,8.019201717748133e-44,0.6413243166564263,2.7350371895361128e-42,353,353
all-distilroberta-v1,SimLex999,adjusted_cosine,0.29606264529960397,1.1653322390127269e-21,0.27540613234388817,7.591509883162142e-19,999,999
all-distilroberta-v1,MC30,adjusted_cosine,0.7362409311135732,3.5268816973819166e-06,0.7539780101851946,1.502075887205955e-06,30,30
all-distilroberta-v1,MEN,adjusted_cosine,0.6472214335003056,0.0,0.6520858965566266,0.0,3000,3000
all-distilroberta-v1,MTurk,adjusted_cosine,0.5313717003741614,2.1334234811638712e-57,0.5264002208957045,3.5668777391643594e-56,771,771
all-distilroberta-v1,WordSim353,sqrt_cosine_similarity,0.5041191087025297,3.75547633109786e-24,0.5001646523700636,9.610934033495836e-24,353,353
all-distilroberta-v1,SimLex999,sqrt_cosine_similarity,0.21397783622067001,8.256398102735397e-12,0.185205934427045,3.6891355416436165e-09,999,999
all-distilroberta-v1,MC30,sqrt_cosine_similarity,0.697672160875375,1.8251568303026632e-05,0.7404028453028755,2.904436222192961e-06,30,30
all-distilroberta-v1,MEN,sqrt_cosine_similarity,0.5186705668205738,2.775180445304916e-206,0.5193458690245415,6.578756576320248e-207,3000,3000
all-distilroberta-v1,MTurk,sqrt_cosine_similarity,0.41397754135309217,2.8012727917704092e-33,0.4138614743072748,2.9297970836995693e-33,771,771
all-distilroberta-v1,WordSim353,isc_similarity,0.6471867882057295,2.8102597515477275e-43,0.6369997286394825,1.4198899371339837e-41,353,353
all-distilroberta-v1,SimLex999,isc_similarity,0.29416574159118053,2.1611996854000578e-21,0.27530822532483135,7.818251191472359e-19,999,999
all-distilroberta-v1,MC30,isc_similarity,0.7278019369257213,5.1725842798480575e-06,0.7417381074224478,2.7269215134416304e-06,30,30
all-distilroberta-v1,MEN,isc_similarity,0.645299898102398,0.0,0.6499902853126327,0.0,3000,3000
all-distilroberta-v1,MTurk,isc_similarity,0.5263560722463732,3.6564535018620977e-56,0.5198829354287383,1.3347409047120046e-54,771,771
all-MiniLM-L12-v2,WordSim353,cosine,0.7502417719323373,4.8001870094609e-65,0.7351621428219723,3.1530932392337496e-61,353,353
all-MiniLM-L12-v2,SimLex999,cosine,0.45336117591563163,8.536459476819437e-52,0.40887405110469255,1.5276490612449132e-41,999,999
all-MiniLM-L12-v2,MC30,cosine,0.7508874625421008,1.7517313954276984e-06,0.7459664374677604,2.227629602284308e-06,30,30
